Kapampangan,English
Lantic,"N oun , thea rchin g , opp ositeof Yucub"
Lantong,"A d jectiv e , a th ingb adly salted , that exh ude sab adsm ell, lik e, bum"
Lan?Ab,to wade into water
Lan?Alang,to lay something flat on the floor
Lan?Ao,"N oun , a fly"
Lan?As,a grating sound as something is caught between the teeth (like a grain of sand)
Langcay,"Langcayan, noun, a kind of bier, or litter whereon they carry the dead, oraload of earth"
Langcap,"And its infinitive, manlanscap"
Langcuas,"A root crop, like ginger, pungent root"
Langcul,Manlanscul
Langcum,Manlanscum
Lang-Gan?An,"The head ofalance, just that"
Lang-Guc,"Tender shoots, or tips of the creeping plant, like that of squash, camote, cangcong and other climbing/ creeping plants"
Lan?I,dryness; dried out by the sun or wind
Lan?Ib,"Scab on wounds, or crust onawound, or ulcer"
Lan?Is,"Sesame, the plant and its seeds"
Lan?Itn?It,"The sound made byaquill over the paper, ot by tearing of paper, or thin silk"
Langnis,"Burning of overcooked, or scorched rice, milk etc"
Lan?Olango,"A toilet, or privy, porters lodge"
Langpad,Synonym of Laganap
Langpao,Manlanspao
Langpus,"What is complete, like work, or debts, which are completely paid for"
Lan?Ubn?Ub,"The sound of the teeth, chewing something hard, like, vizcocho, caramelo"
Lan?Usn?Us,"Sound of the teeth ofabeast when it eats grains of palay, with the same variations as lan?ubn?ub"
Lan?Ut,"Past, Len?ut, wha t isch ewe d"
Lan?Utn?Ut,gnashing or gritting of teeth
Langtad,"SynonymofLan gpad, laganap : M elang taran , m elan gparanmalaganapan, onewhound ertakes toomanyth ingsato netimeanda ttendsto thema llandexped itesth em"
Langtut,"N oun , S mellof acridwater"
Lapac,"to sound like the heels of shoes, clogs, or horseshoes on the ground"
Lapad,width (opposite of narrow)
Lapang,"A d jectiv e , rootsclump edtoon ean o ther, lik e, S a ffro n , Gandus, g inger ("
Lapao,surplus; overflow; excess
Lapas,to pass through; to pass beyond
Lapat,"N oun , thefitof woo d , thejo in t, thea d justmen t"
Lapi,"A c tivev erb and itsin f in itiv e , lumapi, m anlapi, tobr eak / tear sma llbranc hes"
Lapiting,to approach; to come near to
Lapiris,"N oun , a finep inch bytw istin g"
Lapis,"Said ofapiece taken fromachunk/log: each piece is lapis, and the log itself that is made into pieces, the tree it was taken from, is lapis"
Lapit,"Nearness, proximity, and that of Mi, to become close to, near to"
Lapitpit,"That sound which accompanies an involuntary evacuation, or the sound made with the lips to simulate that sound"
Laplap,"That with which, and for whom/for what"
Lapnit,"The outer part of the bamboo, with some of the part, cut into long strips used for fastenting/bundling"
Lapnus,"Manianm??, to flay something, by first passing it over ther flames"
Lapso,Manlapso
Lap-Puac,"Past, Lip-puacan, the place, from which it overflows"
Laput,"Quagmire, slough, deep miry place, softness, due to having more water than mud"
Laquit,Things that are joined well
Lara,"Pepper, chili"
Laray,"The ruddiness, or colorof health, evident on the face or appearance; also the color or blush that appears on the face because of fear, shame/ embarrassment"
Lasac,"variegated feathers (white, red, and mixed colors)"
Lasao,"A djective, dissolved, liquefied, melted, properly and metaphorically, Active verb and its infinitive, lumasao, manlasao"
Lasi,"Tom into small pieces, a thing divided /cut by its sections, like an orange, cut into its slices, oracurtain cut by its seams"
Lasing,Drunkenness
Lasip,"Wild, fierce, like abuli, lion, tiger, and that witch who eats people according to their belief, or what they believe"
Laslas,The instrument
Laso,Blisters (fever blisters) inside the mouth
Lasoc,"A thing blackened by smoke, likeachimney, and is said of food that is smoked, or withasmokey taste"
Lason,"Poison, or toxin that is put inadrink or in food"
Lasona,"Onion, Mi, to grow/find them"
Lasut,"A slippery object, having been rubbed with oil"
Latac,"Sound, like that ofaleak, drip, or falling grain"
Latay,"Raised welts, marks of flogging byawhip, or the stroke ofarope"
Latang,Dry sticks or trunk
Lauo,The darkening of the moon in an eclipse
Lauis,a sign or mark along the way used to find the right path on return
Lauit,"The sickle, or scythe"
Laun,"Old crop, like palay, or tobacco, that is not the crop of the current year"
Laus,"Said ofahole, or fissure that passes from one side to the other"
Laut,"Gulf, deep sea"
Lelay,"Margin, border, edge, river bank, shore, foot of the mountain"
Libad,"A man dancing withawoman, dancing aroundawoman"
Libadbad,"The turning up of the stomach, which could cause nausea"
Libag,"Vacant, vain, empty, hollow, likeafruit withashell/husk, or any other object"
Libay,The thing given in exchange for something
Liban,The space/length of time that passes regarding the matter one is talking about
Liban?Ao,"An insect that does damage to the palay, or infects the air with its stench"
Libasbas,The swooping sound ofabird in its flight
Libato,An edible herb that is well known
Libi,"Lust, lasciviousness, lewdness"
Libis,"The edge, not like Lelay which is the border of any part, even ofaroom which is joined to its wall; Ubis is the edge, like tibi as in the edge ofatable, a window, etc"
Libo,"Lightness, celerity, agility of the body"
Ligaya,"Delight, in general"
Ligalig,"Anxiety, interior restlessness"
Ligamgam,"Maligamgam, lukewarm"
Ligao,"To look for, to search, to seek, said of going fishing, because one who goes fishing is looking for fish, seeking fish"
Ligatgat,Maligatgat
Liglig,"And its infinitive, manliglis"
Lili,"To miss something, to realize that one is short of something, become short of something"
Lilip,"Thehemattheendor edge, like thatofthe salual"
Liliua,"Forgetful, short of memory, and talacalilo"
Liloc,"A work out, a design, or embroidery, no matter how trivial it may be/ commonplace it may be"
Limadmad,"Humidity, wetness, moisture, like that ofacloth, paper"
Limayon,Like Maligon
Limama,Nausea
Liman,"Man?aliman, men?aliman, like pamita"
Limas,Bailing out water fromaboat
Limatac,"Leech, on dry land; smaller than the ordinary water leech"
Limbad,"Limbaran, what reconnoitered"
Limbag,"And its infinitive, manlimbaz"
Limbayong,"Nude, half body downwards"
Limbang,"Calimban?an, diversion/ entertainment"
Limbatao,One who forgets due to being busy
L?Mbon,Procession
Limid,"Compactness, or compression, likeabundle or package, and is said ofabook, and of the letter very close to another, or dense"
Limoc,"Malimoclimoc, is said ofastout child and fat child, oraniddy, youthful healthy dala?a"
Limpad,"Synonym of Limbad, with its variations"
Limpay,"2 what is being waved , or swung by the wind"
Limpat,"Past, Linimpat, the"
Limpi,"Also an active verb and its infinitive, ilimvi"
Limputan,Silence of the night
Linab,smoothness and gloss of a burnished object
Linamnam,sensory pleasantness; deliciousness
Linang,beautiful complexion or appearance of a woman face
Linao,"clarity of water, eyes, glass, or weather"
Linatnat,smoothness
Lindayog,Synonym of Limpay
Lindas,Runabout course
Linis,"Cleanness, material, and formal"
Linlin,Manlinlin
Lino,"A root used for dyeing, dark red in color"
Linoac,"Flabby fat on the body ofaman, or ofapig"
Linsan?An,Sultry weather/ suffocating heat
Linta,leech; bloodsucker
Lintag,something shaken or startled
Lintic,light drizzle; raining in very small drops
Lintug,blisters from scalding; blisters on the lips
Lin?A,"Lingalin?a, and Mi, milin?alin?a, frequentative, said of one who walks staring with suspicion, or fear"
Lin?Ad,That which
Lin?Ay,To do homage to
Lin?Al,"Lin?al lin?al, and Mi, frequentative"
Lin?Ao,forgetful; like an old person who cannot recall recent events
Lin?Ap,dull; slow-witted (similar to a tonto)
Lin?Apn?Ap,tickle; titillation
Lin?Asn?As,trouble; headache; confusion
Lin?At,light sleeper; easily awakened
Lingco,Synonym of Lico
Lincud,"N eutral verb and its frequentative, linecud-linecud"
Ling-Gaso,And its infinitive
Linggang,M elinzsans
Lingguit,Moulding
Linglang,"Past, Lininglang, with which he is diverted, and also one diverted in this manner"
Lin?O,"Maglilingo, to commit treason/ betrayal, that is to act treacherously, like an assassin, or ambusher, and also likealilo"
Lingon,"Care, which one providesafavored one"
Lin?Os,"Turn ones face upon to see, gaze, behold"
Lingsad,"Maca, being deviated"
Linyo,tingling pain in the teeth
Liyo,vertigo; dizziness; swirling in the head
Lipac,corn or callus on the hands or feet
Lipang,"Lipanglipang, and Mi, frequentative"
Lipao,"Lipaoyang tauo, said of one who does not know from whence he comes, nor where he is"
Liparac,"N eutral verb, and its infinitive, to kick or stomp, like in dancing, or one suffering hydrophobia"
Lipas,"Linipas ne sicanan, his strength is gone, or has waned"
Lipasay,strong wriggle (as of a fish caught in a net)
Lipato,spark or flash of fire
Lipatpat,firefly; glow-worm
Lipya,the iron plate on a plow that turns the soil
Liping,"sudden faint or swooning from hunger, causing cold sweat"
Lipit,pressed tightly; constricted
Liplip,"Is said of banana leaves that are placed as padding inapot so that the rice would not be burned/ toasted, in the sense"
Lipogdong,Chubby
Lipul,"And its infinitive, manlipul"
Lipun?A,"Itches on the legs, caused by overexposure to walking through water"
Lipuro,"And its infinitive, manlipuro"
Liput,"Magliput, of intent"
Liputo,Chubbiness
Lipsong,"Lipsong lipsong and Mi, frequentative"
Liquid,"To remove the stairs, so no one could go up the house"
Liquit,"Said of those who are crowding, like those who forcibly pass throughavery narrow door"
L?San,"To let go, leave out, to skip by jumping / passing over the other"
Lisang,"Lisang lisang, the many things dislocated thus"
Lisia,That which
Lisic,"Small spark, like of iron or steel that is red hot, or being welded, or sparks that fly fromacandle, or from an oil-lamp"
Lislis,"And its infinitive, manlislis, to pull up"
Lisu,"And its infinitive, manlis"
Lisud,"Lisuran, to whom"
Litab,"The sparkling glow which is left by grease, or oil, rubbed on an object, or anointed with it"
Litang,"Awning, or vent, or smoke stack overafireplace, or kitchen"
Litid,The string ofabow
Lilitid,"The nerve above the claw, and in beasts, the tendon/sinew that providesanode/knot at their hind legs"
Liuag,"Delay, due to difficulties that are involved in making an object"
Liualas,"Width, wideness, opposite of Quiput, narrowness"
Liuas,"Means to alternate, either be it with another, like with another in carryingaburden, or in standing guard over the house, or in changing clothes"
Liuat,"And its infinitive, manliuat"
Lolao,That which
Luay,"A d jectiv e , a th ingo bstructingtheth roat/eso pha gus"
Lual,the wash area at the back or outside of a house
Luali,"the state of the tide when it is neither rising nor falling, just before it turns"
Lualo,"M anglualo, etc"
Luasay,"Neutralverbanditsinfin itive , tobu bbleup , mak inga noiseon thewater, likefishes , crocodiles , etc"
Luat,lasting; abiding; enduring
Luba,Broken palay
Lubac,"Looseness, as ofaknot, oraraiment/shirt/dress"
Lubad,"Fatness of the belly: which the thin, or lean person does not have"
Lubag,"Frequentative, lubaglubag, said ofaloose thing that is not stretched, likealining; an allowance"
Lubao,"Past, Libao, what is drawn out, like the wick of an oil-lamp"
Lubas,Nude / naked
Lucluc,The thing sat upon; P
Lucman,A Chinese orange
Lucsu,to jump; to leap
Lucto,"Lucio lucio, to make intervals, not like Lactao, which speaks of what is by-passed, or overlooked; lucio is now here, then yonder"
Luctun,young locust not yet able to fly
Lucub,"Idiomatically, to cover, or to shelter"
Lucung,"Hollow, concave"
Lucup,earwax
Lugao,"Rice gruel, rice paste"
Luglug,"And its infinitive, manluslus"
Lugus,"Luguslugus, said of one who grits the teeth; or grate, by chewing / masticating, like grains of sand"
Luid,"Conservation, prolongation"
Luyung,The hardy palm tree
Luyus,A species of palm tree
Lula,Of short vision
Lulam,Dense dark clouds
Lulan,A thing placed / pu into something in order to be carried
Lulu,To race with another
Lulud,The shin
Lulun,"And its infinitive, manlulun"
Lulung,"And frequentative, that which, Mipalulung, mipalulunglulung, as in mipalaut, with intensity"
Lulut,"O f Ca, Calulutan"
Luma,"(hot be confused with the Tagalos, luma), it is said of what had lost much of its force, like, heat, wine, wind"
Lumun,"Calumunan, the peak of ripeness"
Lumut,"The green slime (moss) that appear on stones due to humidity, or onapiece of wood left in the water"
Lumpi,"Neutral, the bright color caused/ left by buyo, betel leaf"
Lumpu,"An impaired/ stunted object, like an animal, oraplant"
Lumpung,Lumpunz
Lunac,"Lunaclunc, become softened"
Lunay,"Lunelunay, frequentative, describing the feebleness of suchaperson"
Lunas,a small wild bitter bush (lunas bunduc) said to be an antidote to poison
Lunday,"Neutral adjective, that little banca that is carried, fastened to the side of ships"
Ludasay,The place in which / wherein
Luntay,sluggishness in speaking; slow speech
Lunto,"Intransitive verb, to repeat the act"
Lupa,"More commonly understood, the face"
Lupacaya,"Said ofafellow who does not have any strength, because he had stayed indoors too long, he grows lazy, or cowardly"
Lupad,said of a bird that is stupefied or maltreated; one passed through too many hands
Lupas,"The flaying or peeling of the skin, or hide"
Lupasay,Lipasavan
Lupi,"Maglup, or, manlupi, to change the skin, likeasnake, or some insects"
Lupig,"Tyrannized, oppressed, persecuted"
Luping,a hat with a sagging brim from age or wear
Lusub,"And its infinitive, manlusub, to pierce through, as withapointed stick, or witharapier"
Lusuc,"More, greatly"
Lusung,That which; P
Lutac,"And its infinitive, manlutac"
Lutad,"Toaboy who plays the role ofawoman, they would say, Ilutad mopa, that he make his voice sound more effim inate"
Lutang,"Or, Ipalutang, ipalutanslutam"
Lutas,"And its infinitive, manlutas"
Luti,"That inner white bark, produced by logs and is less compact than suchalog"
Lutlut,"And its infinitive, manlutlut"
Lutu,"A thing boiled, or cooked"
Magcas,valiant; vigorous; brave man
Maguin,a grammatical particle with various uses
Magun,partly; halfway
Magurung,midday; the period from morning to noon
Maibi,doe; female deer
Main,to take a stroll; to go for a walk
Maiutput,precious; costly; expensive merchandise
Mala,to work wonders; to perform miracles
Malabay,likely to happen; on the verge of (often implies danger or temptation)
Malay,sense; awareness; consciousness
Malasmas,to observe carefully with eyes wide open; attentive watching
Mali,to err; to miss; to make a mistake
Malim,feverish; the onset of fever
Malingmingan,the temples (sides of the head)
Malit,"SynonymofM alay, with itsvaria tions"
Malmal,to roll food into rounded lumps by hand (as when eating rice)
Malun,grief; repentance; regret
Malutac,"M amalutac, memalutac, is sa id"
Mama,"a term of great excellence applied to women, angels, or saints"
Mamoc,labors and misfortunes that befall a person throughout life
Mamsa,"waves that upturn not on shore but in the open water, one after another"
Man,Adverb
Mana,Inheritance
Manaman,"(like ca-sa ca-sa), rarely, seldom"
Manda,to retreat from or retract a promise; to go back on ones word
Mandas,"Mandas, mindas, to explode, to burst out, like matter that is dormant, or interior heat, or gun powder that is ignited inside; the root is related to atdas"
Manibangbayan,"A Tagalog word, adopted here"
Manta,"Mamanta, memanta, that which sticks on, like with paste, or glue"
Mantala,"Superstition, vain observance"
Manoc,"Chicken, which embraces all kinds of chicken, and all its lineage, rooster, hen, chick"
Manuyang,"Son-in-law, or daughter-in-law"
Manga,"Conjunction, like at, ampn"
Mangal,"Bad odor, stench, likeadecomposing corpse"
Mangat,A derivative of Angat
Mangcoc,"A cup to drink water from, bigger thanasulyao"
Mang-Gap,Mang-gap nangebalo
Manginaquin,"The place, or to whom he swings his feet inaplayful manner"
Mangmang,"Foolish, cowardly"
Mangsa,"Mamangsa, memangsa, to boast, or brag, recounting his exploits, heroic feats, achievements, etc"
Mangutatan,"Past, Mengutatan, become overstuffed, likeapillow case almost bursting at the seams with stuff, oravery compressed hand, or the belly almost bursting to its fullness"
Mapa,"Mamapa, memapa, to exult, to applaud by clapping the hands MAQUI"
Maquibat,"Past, Mequibat, to answer"
Maquiua,"Stag, male deer"
Maro,"Competidor, rival (male, or female) in courtship, gallantry, or intrigue"
Masa,"The time of any thing, masan, malsaquiti, time for sowing"
Masing,"Badly disposed, of bad disposition of persons, and of things"
Masmas,"When he is relieved ofafever that was affecting him so grievously, and from this, it is said of one who survives great trials and comes out ,I towardsawell-rested life: all isaconcept of surviving, passing from one extreme to the opposite extreme, Habitantibus in umbra mortis, lux orta est eis, To those living under the shadow of death, a light has shone upon them"
Mata,eye
Matamata,"Small grains of palay, like fennel seeds usually found in cooked rice that was badly washed, for the weed somehow got mixed with the palay at threshing time"
Matay,"Mamamatay, metay, mat ay, to die; variations: Mamatay, mematay, or, mangamatay, mengamatay, if many"
Mato,"Magmat, migmat, with intent, become tenacious, or, rebellious, not wanting to do anything that he is commanded to do"
Mauli,"Southern, that part, or region that is opposite of Pangolo, northern"
Meto,Arte de la Lensua Pampama - Bereao
Metung,As a Numeral
Minan?Un,"Road, causeway; because it is elevated, it seems it is derived from Ban?un"
Min?Ua,"Mamin?ua, memin?ua, one who takes as his responsibility the defense, like the defense of another inaquarrel, dispute"
Misan,"One time, once uponatime, or on one occasion, Manaral ya misan, he was preaching at one time, Manaral ya minsan aldao, misan naman, at least onceaday"
Mistula,A thing of little worth
Mitla,"Baaba, a common tree, known to all"
Moa,See the Grammar
Mula,"garden (flower, vegetable, or kitchen garden)"
Mulad,always when; at every instance; whenever the occasion arises
Mulagat,eyes wide open in horror; a wide-eyed stare
Mulala,simpleton; one who stares blankly; a dazed person
Mulang,knavery from malice; the opposite of innocence
Mulansang,hair standing on end from anger or fear; overcooked rice that crackles
Mulasin,to frown from anger
Mulat,open (of the eyes); to open ones eyes
Mulatmuti,"a person who is now prominent, now obscure; now rich, now poor"
Mulimuli,the stern or aft of a boat
Mulingas,"Maca, become grim, frowning"
Mulingmuling,at the very back; rearmost position (variant of mulimuli)
Mulmul,water flowing from canals into rivers and then to the sea
Mumu,"small particles (breadcrumbs, sawdust, small coins)"
Muna,Interjectionof haste
Munag,"The first light that isasign that the Sun, the morning star, or the Moon is rising up there"
Munying,Like panagaola alan munying munying
Mungcaqui,"Mamungcaqui, or, memungcaqui, is said of one when he feels the need to be jovial, and brotherly to everybody, even it be withapoor man, if he wants to send for something, or he has need for something, seekingaleeway to obtain or gain what he desires"
Mungmun?An,"A small bell of the lnd, like those of the Visayas"
Munyan?It,"Mamunyan?it,- memunyan?it, to become furious with gestures"
Munsing,"The tiniest/ smallest mote, an atom, an iota"
Muntat,"Ha, of indication"
Mura,"Mean, despicable, cheap, materially and formally, opposite of Mai, dear"
Muri,Slimy moisture/discharge running from the eyes
Musang,"Dirtiness, or grime on the face"
Musmus,"Mischievous, synonym of Pelangga, a boy or girl who is frolicsome"
Muta,"A species of grass, short grass / fodder and its root"
Mutia,"Precious stone, in general"
Nabang,"Or, Paquinabang, advantage, gain, or fruit derived, shared, or produced from another thing"
Nabo,"And its infinitive, Mangnabo, to throw down, to throw from above"
Nacnac,"The abscess or the wound becoming swollen, or opened/ripened"
Naga,"That figure that is placed on the prow, or bow ofaboat"
Nayon,"An agreeable thing, or coordinated thing"
Nana,"N oun , pus"
Nanan,Nanan daca?
Nangnang,to gnaw or chew persistently on something
Nangun,see nangan; to desire or crave
Napnap,to gather everything; to collect all and leave nothing
Nasa,"N oun , des ir e"
Nasi,cooked rice
Nasnas,"A d jectiv e , uns titche dat thee n d , lik e , a rope , orthec o rdso faw h ip"
Natanat,to stretch oneself (as at the onset of a tertian fever)
Naua,"Widening, material and formal, opposite of Ascop"
Nauang,"Deformity, ugliness, m aterial and formal"
Nicnic,"Tiny mosquitoes that bite, but they do not buzz"
Nigla,"Manigla, adjective, asleep"
Ninim,"Macaninim, mecaninim, used withanegation, Emacaninim, like emiimicimic, could not speak out, like due to fear, or has nothing to answer with"
Ningning,"Brillance, like thatof a star, orof a diamond, etc"
Nio,"Fortune, opposite of Bigii, misfortune"
Nonao,"Ica and Maca, and is said well of plants"
Nuan,"Blessed, blest, because, Manauaya biay"
Nucan,Nephew
Nunu,"Grandfather, or grandmother"
Nunus,"Magnunus, etc., one who does not let go ofathing until he has finished it"
Nusnus,Inusnus
Ngangas,"Man?an?as, men?an?as, to become daring"
N?Anib,"Danger from enemies, crocodiles"
N?Asn?As,"Sound/noise ofadog, or rat, gnawing something"
N?Atba,That which
N?Atn?At,Sound of rat gnawing something
N?Ean,"Antiquity, ancient times"
N?Eni,"Of time, now"
N?Eta,"N?etain, n?etaninan"
N?Eti,Of conjecture
N?Eung,"N eutral verb, future, the cat meows"
Ognay,"And its infinitive, manosnav"
Ognas,"And its infinitive, manosnas"
Ogto,"Ogtong aldao, or, caugtuan aldao, midday, noon; variation: to work/ makeathing until midday, to stay until / be overtaken by midday"
Oyab,Effect
Oyag,"A djective, indicative sign, symptom"
Onyat,"To unfold by stretching outastring, or wire"
Oua,"Of assent, yes"
Ouay,"Ouay maqui balay, from the house and from its owner"
Pacang,"Tired, weary, like of fighting, orof carryingaburden"
Pacao,"The edge or approach of one or other part ofariver, or ofacanal which consists of the form given to it"
Pacday,"It is said of the traits of the seed, from which it is known if it will turn out good, or bad, like the grains of palay"
Pac-Cli,"Broken into two, likeacane, a stick, oraleg, but not lengthwise"
Pacna,to be firm in ones opinion or opposition; to compete resolutely
Pacnit,"Flayed,or detached, disjoined"
Pacpac,"Plume, feather, wihg"
Pacsa,"Of intent, purposely"
Pacsing,"Little stick, drumstick"
Pacting,The synonym of Pacsing
Pactong,"With the same variations, it is similar in meaning as Pacsing and Pacting, but the beating is done withabigger stick, likeabludgeon, or truncheon"
Paco,"Nail, spike, including those made of iron"
Pac-Cuid,to walk like a person with a broken hip or crooked spine
Pagui,"Ray fish, sting ray"
Paguilat,"Paguilat, pepaguilat, and its infinitive, Mamaguilat, to censure, to reproach, upbraid; it is done by placing the forefinger on the right eye and opening it widely, to sneer, or mock somebody, like one who says he has done his work well, but has taken another thing instead"
Pagulung,"Certain implements, one that rolls to fling away the grass, and the other to level the earth/soil, also by rolling over it"
Payacpac,"Payacpac, mayacpac, and its infinitive, to flap the wings, likeabird flapping its wings in flying, orarooster flapping its wings before crowing"
Payao,"Hoarse, rough voice"
Payapaya,"Micapayapayapamo, said of one who waits for an opportune time, or one who bides time to let anger pass, subside"
Payapay,"And its infinitive, mamavapav"
Paid,"And its infinitive, mamaid"
Paidpid,"Man?apaidpid, if many"
Payong,"Awning, ledge, shed, umbrella"
Pais,"to heat something wrapped in leaves, like a poultice or food steamed in leaves"
Pait,"N oun , b ittern ess"
Payus,dried or salted fish; also: fermented fish paste (bagoong)
Payuspus,"A d jectiv e , aplant w ithou t leav e s , bec aus eit isde cay in g"
Pala,shovel; spade; also: indeed; of course (particle of affirmation)
Palabul,"something that may be of service, use, or sustenance"
Palac,scum; lees; sediment of a liquid
Palacol,"N oun , axe"
Palad,palm of the hand
Palagpag,to reap or harvest palay (unhusked rice)
Palay,unhusked rice; rice grain still in the husk
Palayao,caress; expression of endearment (as from parent to child)
Palam,to marinate; to soak fish or meat in liquid before cooking
Palamara,thoughtless; rashly overbold; imprudent
Palambang,something that may or may not adhere; unreliable grip
Palan,moderation; temperance
Palanacan,uterus; womb where the fetus grows
Palang,large knife; bolo
Palangapang,overbearing in words or deeds
Palapa,fleshy joints or stalks of a plant that taper toward the tip
Palara,gold leaf; silver foil
Palas,"And its infinitive, mamalas"
Palaspas,coconut palm fronds
Palatpat,a wild tree that grows in saltwater
Palbud,to clear fields in advance to improve the harvest
Palcaya,"Malcaya, milcaya, and its infinitive, Mamalcaya, memalcaya, to till the land out of season, with the help of irrigation, different from Man?arayom, tilling / sowing the field during rainyse aso n"
Paldac,stomp of the feet; foot strikes in dancing
Paldan,capapaldán; fitted or even (as a measure)
Paldas,mourning; bereavement
Paldupan,brazier; pan for holding coals; hearth
Palepay,fins and tail of a fish
Paleragul,"N oun , asp ecieso f palay"
Pali,the spleen of an animal
Palian,the anvil
Palid,dirt; grime that comes off the skin when rubbed
Paligui,ditch or drainage channel
Palimanoc,a type of ray fish
Paling,cheek and jaw
Palipao,loop trap for catching ducks or birds
Palipi,descendant; of descent from a lineage
Palipit,"A twis ted ortw ined , ben tob ject, liketre e , but inaw aythat itca n stillbe s tra ightene d"
Palis,constantly changing; shifting without settling (opinion or will)
Palitpit,long and thin (like a rolled parchment)
Palpad,flat object (like a handle of a feeding trough)
Palpal,to pack tightly; to compress into a space
Palsaquiti,"Palsaquitinan, pilsaquitinan, (note the added ), the field"
Paltac,"And its infinitive, mamaltac"
Paltoc,whip
Paltocos,wooden shoes; clogs
Paltos,large blisters
Paluc,"Mipalucpaluc, is said of one who does not understand other implications ofacertain matter"
Paluca,stick; rod; truncheon; club
Palunpun,"And its infinitive, mamalunpun"
Palung,The crest ofacock
Palungpung,large roots or stumps blocking a path because they were not cut to the ground
Palopalo,"N oun , S oap"
Paluluy,A certa insp ecieso fbird s
Palus,a type of eel
Palusi,"N oun , polestopu tup , ors upp o rtan awn in g"
Palut,"A c tivev erb , malut"
Pallat,"A d jectiv e , extrac teds apo f sesame"
Pamaguil,"N oun , b lemis h , flaw , like a bad linea g e / race , likethen egritoes"
Pamalan,one who waits for what may come or what may be achieved
Pamallyan,"A d jectiv e , saidof vainob servan ces, orsupe rstitions"
Paman?Olo,something made and done by a leader or head because no one else can do it alone
Pamati,"N oun , bait, likem eat that isse tas aba it forthec row toap pro ach itan dbe k ille d"
Pamaugui,"A d jectiv e , a th ingw h icha man in love g ives to theg irlhe isco u rtin g"
Pamita,respect; politeness; civility
Paminto,to obey; to follow orders
Pamoc,"Pedro falls in love with Maria, who is already going out with Juan"
Pamu?A,"Spear, which is similar to those used to strike big fishes, which when caught, are retrieved with the rope attached to the spear, this is calledaharpoon"
Pamugsog,"The bamboo pole, or, trellis that is placed foravine to climb on it"
Pamon,"Mamn, memon, to bid farewell, or, take, or ask leave from"
Pana,bow and arrow
Panagano,"A dedication, offering it as such"
Panay,"Panepanay, and Mi, frequentative, to blow softly, likeabreeze"
Panaya,"Manaya, menaya, to wait"
Panayon,to persist in something; to maintain a habit
Panalangin,"A prayer, like the Our Father"
Panaon,"Mamanaon, memanaon, one who takes time in what he does"
Panglut,"Manglut, minglut, to make angry gestures, or angry threats, rarely used"
Pangmal,"Mangmal, mingmal, to repress anger, covering it by endurance, boiling it in the heart"
Pangna,A small hand basket made of bamboo
Pangnit,"Mamangnit, memangnit, to gnaw the bone, and is said appropriately of the dog"
Pan?Olo,"The northern part/region of Pampanga, or north of Pampanga, opposite of Mauli, south of Pampanga"
Pan?Unac,"Man?unac, men?unac, to repudiate, regret anything or object, that is found out later, not agreed upon nor accepted inacontract, because it turns out asaloss"
Pan?Unacan,"Nephew, son of your brother, or ofacousin, a stepson, or stepchild"
Pan?Usap,"Man?usap, men?usap, to chide, or chastise"
Pangpang,Riverbank
Pangsa,"Mamangsa, memangsa, the sitting of fowls/birds on their eggs to hatch them"
Pangsul,The cylindrical protrusion ofawash basin or water jug
Pangti,dragnet; to cast a dragnet
Panic,"L,that which, or one who"
Panica,"Fake gold, rarely used"
Paniclang,Dance music of the Zambals
Panigapo,"Petition, a plea, which is done by invoking those titles, or those things which may oblige them more, or move them to pity/compassion on the petitioner, or the pleader"
Papag,A low bamboo bed
Papaya,We call everybody thus
Papaluan,The buttocks
Papas,The color yellow
Paqui,Presently
Paquing,"A species of sparrows, like denas paquing"
Paquil,"Broken down, weakened"
Para,"Equal: ingpara mong tauo, your fellowman"
Paralaya,The eastern part
Parali,Consult
Paraluman,A mariners compass
Parang,Green insects that fly
Parangbasal,"Is said of anything in bad shape, like the calf of the leg, which is large below as it is above"
Parao,shrimp
Paras,"Pungent taste, like that of pepper, or chili"
Paratai,"Trap, or loop for birds, which boys carry on their hands"
Parati,"Of time, of continuity"
Pari,"And its infinitive, mamari"
Parisucat,Square
Paritaan,"Kitchen oil-lamp, with many tubes for wicks, a Tagalog word"
Paroba,Oppositeof paralaya
Parus,"Mussels, shellfish"
Pasa,"Blood clot, blood shot, like what appears on welts caused by flogging"
Pasac,Wooden peg
Passuit,"Canine tooth, pang, long tusk"
Pasul,said of one who is exhausted or short of breath from sickness
Pasulu,"A tine, or spine set up to prick or pierce the foot of one who passes by"
Pasumala,"Magpasumala, to perform, to work haphazardly"
Pasung,"Pit, gorge, ravine, on the road, or on the mountain"
Pasunlan,A chisel
Pata,"Ective, benumbed, likealeg"
Patac,"Capatac, one drop; tolo, when it drops through an awning, or gutter, or balisbisan"
Patad,Broken rope
Patag,Equal in depth
Patan,"Weight, burden that overwhelms"
Patli,Synonym of Pacli
Patlud,"Broken, likearope, or thread"
Patnubai,to assist by extending a favor; to help partly with work or materials
Patnugut,to accompany out of courtesy (attending a funeral or farewell)
Patpat,"Rounded, like the religious habit, or the tonsure"
Patumali,to set dogs on someone; to incite an animal or person against another
Patung,A bamboo drum
Patupat,"A certain weave of palm leaves, into which they put rice, and cook it by boiling"
Paua,"Pure, without mixture"
Pila,"Pliant clay, good for making pottery"
Pilac,Silver
Pilan,How many?
Pilapil,"This is how we call all cleaning, or clearing of fields for sowing, or planting"
