Kapampangan,English
kwintas,Spring; winding; wind something up; necklace; wear necklace
kwitis,Skyrocket; fire skyrockets
kyan,See dictionary entry
kyapuq,Water lily
kyapus,See dictionary entry
laba,Wash clothes; do laundry; labada; razor. labaa/ labaqa; labaqas; labasa
labak,Lake; swamp
laban,Oppose; compete; fight against. argue; opponent; thing go oppose laban the fight promoter
labang,Carabao shed
labanus,Radish
labas,Through (in the process of leaving; going out). lalabas; linabas; labas
labatiba,Enema; give someone labentador; firecracker
labiq,Lip(s); stick lip out at someone; having big lips; excess; what is; survivor. elevent; twelve; survive something
labit,See dictionary entry
lablab,Lalabit blabber; chatter without stopping; talkative; swell up (of flames; of the surface of fishpond); lablab
labsaq,Cooked with too water. labuad/ labwad; ground; earth
labug,Blurred
labuk,Topsoil in rice
labul,Blow air into something
labung,Young leaf; shoot; leafy. labwad/ labuad
ladlad,Spread out; display. spread something out; laladlad. lait/laqit; layit; scythe; curbed bolo used in cutting hook; cut something with lait; catch something with hook; lait
lagad,Seldom; rarely
laganas,Everything; constant; entire
lagaq,Boil; linagaq
lagariq,See dictionary entry
lagayan,Carpenters saw; saw. lagari(an) saw (something specific); one who easily sees (is in communication with?) spirits; This communication/apparition is said to take place most often on rainy Friday afternoons
lage,Appear; come out; bring out or put on lage; lalage; relax; lage opinion; appeared; presented; served; spirit(s); apparition; appearance
lagitik,See dictionary entry
laglag,See dictionary entry
lagnat,Fever; lagnat; lalagnat; linagnat
lagpas,See dictionary entry
laguq,See dictionary entry
lagwaq,See dictionary entry
lagyuq,Name. one with the same name as another; lagyuq
lahi,See dictionary entry
lakad,Walk. lalakad; send on an errand; gait; course. lakad ning
lakal,Lakan- danup; earth. native land; labwad the whole earth; taung labuad native; walk. lalakad; send on an errand; gait; course. lakad ning; woven ring for supporting pots on flat surfaces; having an appetite
lakatan,Glutinous rice; white corn; kind of banana
lakbang,(N./V.); stride; step. lalakbang; linakbang
laklak,Devour; eat like; liklak
lako,Devour; eat like; liklak; remove; delete; detach; eject; send away. remove something; leave someone; fainted; to remove
lakto,Skip; omit something. lakton
lakwatsa,One who wastes time
lala,Appear; come out; bring out or put on lage; lalage; relax; lage opinion; appeared; presented; served; spirit(s); apparition; appearance; creaking noise; sound; lalagitik. (V./D.) loose; falling off; company. lalaglag; fever; lagnat; lalagnat; linagnat; over; beauty; lalaguq; fast; swift; quick; lalagwaq do something fast; expedite something; in short; in few words; to made long story short; name. one with the same name as another; lagyuq; species; race; kind; weave. lalan weave into something; lalandase woven
lalaki,Act like man
lalam,Depth; old; fancy; obscure; deep; below; deepest; been put under
lalang,Create; contrive
lalbe,See dictionary entry
lalbug,See dictionary entry
lalong,See dictionary entry
lalput,(V./D.?)
lalu,Spill over. (./D./N.) excess. envy; jealousy; be envious; lalung worse; lalung farther. lamalyorka name of bus line; family name; kind of watermelon
laman,Contents; fleshy. contents; table of
lamaran,Stuff oneself greedily
lamat,Crack (in glass; pottery)
lambat,Long time
lambing,Affection; flowing
lambis,See dictionary entry
lambut,Soft; lambut; feel weak; limp
lame,(N./V.) caress; soft; lambut; feel weak; limp; offer condolences; attend wake
lamesa,Table. lamisita
lampara,Lantern; lamp
lampin,Diaper(s)
lanam,Smell or quality of rotting fish
lanat,Quality of fruits. opposite of
lande,Slat; bamboo slat
landiq,(V./.) be in heat; (promiscuity?); the fact of being in heat
landuy,See dictionary entry
langgoci,Burlap bag
langib,See dictionary entry
langiq,Dry something. lalangiq
lango,See dictionary entry
lansonis,Kind of fruit
lantik,Play -seek; bend; arch body. lantik
lantung,Horny; sexually eager
lapad,See dictionary entry
lapat,Housefly; width; wide; thick; exact; adjusted; adjust something
lapirut,Small amount of skin). lepirut
lapis,See dictionary entry
lapit,Draw near to something. linapit; lumapit; near; adjacent
lapu,Draw near to something. linapit; lumapit; near; adjacent; overflow. lalapo; linapu; lumapu
laram,Falsehood
laraq,See dictionary entry
larawan,See dictionary entry
lare,See dictionary entry
larga,See dictionary entry
laruq,See dictionary entry
lasa,See dictionary entry
lasak,Lasaw-/ laso; proceed; letloose. linarga let loose; given slack; oil (usually from coconuts; used formerlynow; by old women as hair dressing); also applies to vegetable oils; motor oil; flavor; taste; suffer. lalasa; linasa; lasan; destroy something; lasak; torn down; digest something; digestable; dissolved. have an abortion; lasu; laso
lasebu,See dictionary entry
lasenggu,Drunkard
lasetas,Knife; jack knife. lasetang batanggenyu switchblade
laso,See dictionary entry
lasun,Poison; poison someone/thing; lasun
lasuq,Ribbon; also some sort of mouth sore
lata,Barongga throw something; throw at something; -can
latik,Sauce of sugar and toasted coconut; phase of the moon when is small
latiq,Tin can. tukong lata e.g. square can; -can childrens game); small; lalatiq grow small; make something smaller
latundan,Kind of banana. laun/ lawun; worn out; dehydrated; dessicated.. laus/lawus; proceed; continue; useless. lawut
lawas,Sluice; gate
lawe,Look lalon; lawen; lalawe; linawe; lumawe; lawe; lawan look at something; lalon
laya,Ginger
layag,See dictionary entry
laypan,Centipede
layunan,Celebration (in Candaba)singing two groups who represent the Holy Family and the people of Bethlehem
legayan,One stalk of rice
legwas,League; of distance. usually restricted to
lele,Border; edge; side. lelut-; rice gruel; stew or porridge
lenggwae,Language
letratu,Photograph
libad,Twists-
libang,Enjoy oneself; amusement
libatu,Stage in the of and
libe/libay,Exchange something
libi,Lustful; lascivious
libluban,Portion or rice field
libru,Book
libu,See dictionary entry
libut,One thousand; lilibut go around. lumibut; libut
libutad,Center; centered. libutad put something in center
lider,(Eng. leader) political ward boss
ligaq,See dictionary entry
ligat,See dictionary entry
ligid,Boil; soft; sticky; smooth texture. just right; surround; surroundings
ligligan,Contest
ligpit,Arrange; put in order
ligtas,See dictionary entry
liguq,Liliguq fishing
ligwat,Rifle; steal lihim/liqim; secret; private
likas,Remove contents from one place and put in another; transfer; translate; lilikas; linikas; likas; talapaglikas
liksiq,Agile; fast; skilled
likut,Overactive; always moving; restless; fidgety (usually of Filipino English the child is said to be moveable)
lilyu,See dictionary entry
lima,See dictionary entry
limbag,Published; printed; ngalimbag edition; printing; second edition
limbun,Procession; limpuyuq/ alimpuyuq; mole; skin
lina,See dictionary entry
linggotci,Sack; burlap bag; linggotci
linggu,Week; ruminggu one week; linggweta; staple; something used to corrugated roofing
lingo,Hysterical
linis,Clean; linis
lino,Make something clear
lintik,Female nickname; from Rizalina; clean; linis; clear; light shower; rainfall; lilintik
lintusan,Blistered; lingapngap; chucking under the chin. asngas; worrisome
lipak,Callus; blister; callused
lipaktung,Kind of (cricket; locust?)
lipasag,Wiggling
lipat,Lipunga/ alipunga
lisang,Move; transfer; change places; linipat; athletes foot. dislocated; disjointed
lisangan,Heat (an state?); warm (uncomfortable)
lisensya,License; lisensyadu licensed
lisik,See dictionary entry
lislis,Push up; roll up (sleeves; lilislis; lislis
lisyaq,Move over
lisyun,Lesson
litid,Tendon; cartilage. lilitid; cut the tendon
litru,Liquid used with gasoline and; dry used also the box used to six litru one
litsun,See dictionary entry
liwaluq,Kind of fish; noted for its spines; barrio of Bacolor famous for which took place there in the early 1950s
liwanag,Bright; shining. sometimes used with kwalta money to jackpot
liwas,See dictionary entry
liyas,See dictionary entry
lo/lu,Take someones place; going in opposite directions and fail small lice; limited to occurrences with atin; alaq
lobu,Balloon
loku/loko,Crazy; also loka for females; fool; tease someone. loku
lolo,Court girl); lololo hang down long dogs tongue; dress). nilolo
loren,Name
loti,Plot of land; subdivision. lotiloti subdivision
luaq,See dictionary entry
lub,Tear(s); luluaq weep; inside; the of something; ones soul; feelings; sentiment; etc. worksomething to go in to do. holster; sheath; lulub; lungub; luban
lubak,Something; be loose
lubas,Naked; nude
lubid,See dictionary entry
lubluban,One square of rice fields
lubulobu,Catching pond in fishpond system. lubus-; eating until satisfied; the manner of such eating
luding,Female nickname; for Ludinia; Lourdes
lugal,See dictionary entry
lugaq,See dictionary entry
lugud,Earwax; have plenty of earwax; place; location; space; give place to someone; love. dear ones; beloved; sweetheart; friend; love someone; dear
lukaq,See dictionary entry
lukas,Remove contents from one place and put in another; transfer; translate; lilikas; linikas; likas; talapaglikas
lukluk,Humble; poor; take off. lukas; likas; lukas; the removing of ceremonial black (clothes or ribbon) one year after family death; take seat; seat; place to sit. sitting. seated
lukong,Curved
luksuq,See dictionary entry
lukub,Lulukub hatch eggs; live with relatives
lukut,Jump; lulukub hatch eggs; live with relatives; roll things up; lukut
lulam,Cloudy; about to rain. lulsut (lulusut?); break through; burst through; bloom. lulsut; linsut
lulaq,Clouds; overcast; cloudy; be about to rain
lulu,Poor man; have; someone
lulud,Barked
lulun,See dictionary entry
luluq,See dictionary entry
lulut,Roll up; ripe
lumbe,Watch; observe; see lumbe; limbe
lumbug,Flood; be submerged
lumo,(./D./V.) be accustomed; be done as custom
lumput,Squeeze into an opening in line; win narrow election. lumput; limput
lumud,Lumut/ lumot
lunas,See dictionary entry
lungkut,Sadness; lonely
lungub,See dictionary entry
lunis,Squeeze into an opening in line; win narrow election. lumput; limput. (./V./D.) drown; algae; moss; seaweed; that of plow which pushes the turned up dirt away from the blade; Monday; have bad luck on Monday and spoil the whole week
lunus,(D././V.) someone
lupa,Face. look like (one with same face as another); similar; same
lupisak,House lizard
lupit,Cruel. luraq/duraq; spit; saliva
luslus,See dictionary entry
lutas,See dictionary entry
lutung,Crisp; brittle
lutuq,Digested; (V././D.) finish. linutas; cook; lutuq; cooked; red. reddish; blushing
luwal/lual,Outside; go out. luwal; lumuwal; linuwal; take something out
luwalas,Spacious; extensive. /- luat; for long time
luwid,Succeed; win progress
luyus,See dictionary entry
lyu,Dizzy; giddy; mother
ma:malaq,Low tide. (V./D.) be in hurry; come you are welcome. rare; deep word. used to response; fall down
ma:nako,Steal nalangaq; searching in the sentence yang pugad He is looking for nest i.e. is courting girl
ma:nataq,People with vows
ma:ndarin,Citrus fruit; orange
ma:ngalput,(V./D.?) (V./?) rumbling
ma:nigotu,Weeding
ma:ninap,(V./D./.) dreaming
ma:nutu,Molt; anyad; anyawad
madrekaku,Plant; with trunks; used for firewood and leaves fed to goats
magkanu,See dictionary entry
magnus,Open dam; splurge with savings
mais,Corn. white corn; yellow corn; cornfield; busang popcorn; ligang boiled corn; swam dish of vegetables corn
maitines,At Christmas
majong,(the game)
makadwaq,Second; two days from
makananu,What manner; reng How are those used?
makina,Engine; rice; profit; go to Holy Communion; Holy Communion
makinilya,Typewriter; barbers clippers
mako,Leave; depart
makupa,Leave; depart; kind of fruit; grows on trees; roughly apricot sized; similar to what is called mountain apple in Hawaii; There are two types
mal,Expensive; dear; valuable. malan/; clothes; dress
malaus,Come proceed; continue
maldaq,Common man; everyone; populace. ding all the people; popular reader
male,Consciousness; occurs in the phrase: fainted
maleldu,Holy Week; Good Friday
malgarit,See dictionary entry
malignos,Evil spirits
malintusan,Blistered
maliq,Error; make
maliwaluq,Barrio of Bacolor; famous for in the early 1950s
malyari,Can be; possible
mamaq,Root?; bablas; term of address used to not used with names as English; chew betel nut; respond; reciprocate
mampit,See dictionary entry
man,Fertilize; have something fertilized; share fertilizer
mana,See dictionary entry
manalas,Dripping; sensitive
manatili,Stop; stay; be occurs in the religious phrase: Ginu; God be with you
manaya,Waiting for someone; something
maneu,Drive vehicle) usually to drive for pay
manga,Used with dates; times; other numbers; to approximately
mangga,Orchard
mangisnawa,(V.?/D.) breathing
mangumpe,Cutting grass; fodder
manibaug,Name of barrio
manik,Go upstairs. qik; stage in courtship when the boy is to visit the girl in her house; have or express strong feelings for another
maninilyu,Whisk; beaterused with baterul
manintun,Look for
maniq,Clitoris
manisig,(V./D.?) eat something which tastes sour; as citrus or santol
manong,Awkward
mansad,(N.?/D./V.) body smell
mansanitas,Small object which grows on trees used to refer to olives
mantilyu,Hammer
manuk,See dictionary entry
manunyat,Stretch; yawn
map,(D./Q.) good; /- rayit
maplas,(N./V.) cheat; cheater; sting (e.g. wound; when is applied)
marangle,Field (cultivated field)
margaha,Volcanic ash; lava
margate,Special type of rice or manner of spaced planting recently by agricultural agents
maring,Female nickname
mariposa,Butterfly
mariya,Female nameMaria. atlung name of constellation
marka,Trademark; sign. lit. of the devil gin; San brand gin; which has of slaying Lucifer on the bottle
marso,(the month)
martir,See dictionary entry
martis,Tuesday
mas,Singer
masa,Used in comparative constructions You are taller than; That is nicer than that other one; dough
masaganaq,System of planting rice by carefully the distance plantings
masdan,Look after; watch look for
masetas,Flowerpot
maskara,See dictionary entry
maski,Chewing tobacco; also in the betel chew and in cigarettes of the -own variety. (Q./Subcomb.) even though. used as complete utterance: Never; so what
masyadu,Very; Generally used as to Not very heavy
masyung,Nickname; from Eustaquio
mata,Shoot; sprout; as: the spots on the top half of coconut shell (bikan lalaki) are telataung (of the eye)
matas,Hire others to harvest; death; matsura/mat- cura
maya,Monkey; more commonly; songgo; ugly; lousy; unpleasant; small bird; the rice bird. delicacy made of sugar; coconut; and glutinous rice
mayu,Month
mayul,Church; high
mayumu,Church; high; sweet; sugar; candy; sweets. preservative for fruits
me,(Substitute
me:ngabus,Save; redeem; used in religious texts
medida,Tape; meju/medyu; somewhat; sort of
medikul,Cough (from the brand name
men,(Exc./idiom) Amen
menus,Crazy; lacking e.g. with numbers; singko subtract five; thrifty; cutting down on expenses
merli,Female nickname; from Emerita
mestru,Teacher
metrus,Length; distance). carpenters rule
metung,(N./.) one; first
mica,See dictionary entry
milagrosa,Wondrous happening. rice
milun,See dictionary entry
milyari,Happened; as Nanung What happened?
mimin,Consumed (e.g. by fire); moriya
mina,Substance; klasing yan; Carbide; that is type of substance/mineral
minangun,River flood control; dike; bank
mirindal,See dictionary entry
mis,Once in while
misa,Church; high
misan,Term of address to an unmarried female; Catholic ceremony; have said. (Q./N.?) once in while time
misdan,(D./V./.) be surprised
misis,Term of address for women; as term of reference; usually wife as your wife; your
mismo,(N./Q.?) the same; the thing
mitdaq,(D./.?) extinguished
mitdas,(V././D.) burst blister or boil); blinking (as; lights which go on and off)
mitmuq,(./V./D.) filled
miyerkulis,Wednesday
modelu,See dictionary entry
modista,Dressmaker. dressmaking
modu,See dictionary entry
monte,Gambling game played with cards
mu:mutut,Nibble at food; eat timidly or uneagerly
muaq/mwaq,(./N./D.?) be angry
mugmug,Crumbs
mula,See dictionary entry
mulal,See dictionary entry
mulalaq,Yard; the area surrounding house. yard area; to stay without consent in someones house. (V./D./.) be surprised; stand gaping; act or look like an
mulang,See dictionary entry
muliq,Crazy; foolish; rabid; (of an engine; not working properly); foolishness; go home; Bacolor say that in the Sta; Rita dialect this to go; ulyan
multa,See dictionary entry
mun,Say farewell; obey. (V./.) is rising; arise with the sun
mundu,Earth; world. earthly concerns; worldly things
muning,See dictionary entry
munisipiyu,Town hall
munta,Act of going; punta
muq,Only; just
mura,Cheap; derogate
muriq,Eye secretions
murit,Crazy. murus/morus; Moros; act like Moro
muton,Stick used in the -hand combat/ sport called arnis
mwaq,(V./.) angry
na,Already. his/ hers
na:pun,Yesterday. napusabengi night before last
nabuq,Fall; fall down. steal; thief; thievery
naman,Response
nanan,Will do what? with something
nanaq,See dictionary entry
nandin,(N./Q.) while ago
nandu,Nickname; for Fernando
nang,(Subs; what; alternate form of nanung
nangnang,Roast; barbecue; ningnang; ningnang barbecued food
nanu,Substitute) what; nanan. (n) what whatsoever; how?; nananu; ninanu; numanu; nanan
nasaq,See dictionary entry
nasiq,Cooked rice
natad,Escorted
ne,Substitute; portmanteau. tag question; is not?
nedamu,Abbreviated form of curse; taknedamu/ antakneng
neng,(CMP) specific variety of nang; ning
nerbyus,(./D./V.) nervous
NG,Pray - pray for something; pray together; - pray together for
nga:,Am saying; do say. ngamu; ngaku; ngana; ngara
ngan,Everyone; everything
ngeni,See dictionary entry
ngisngis,Show teeth; esp. upper teeth; balangingis kind of bat which has protruding teeth. ngungut/ ungut
ngusuq,Coconut; upper lip; stick upper lip out at someone
nik,Climb up; go up stairs
niknik,Tiny; gnat?
ninanu,What happened to?
ninap,See dictionary entry
ning,Two things; busal ning corncob
ninu,(Question Substitute) who?
no,CMP (possession; genitive). alternate form: when. alternate form: ninu who. ); no Wallace; Wallace wouldnt let them nobyembre; November
nugut,Whole funeral ceremony
nukarin,(Subs; location) where; alternate form
numanu,Numeru/ nomeru; number
nung,Possibly. nung wariq pretend
nunuq,Father
nya,When; used with future; proposed; verbs. occurs and few other constructions; Is possible now?; mya! Change now!; As soon as he was lost
nyaman,Delicious
nyan,See dictionary entry
nyang,See dictionary entry
o:yaq,See dictionary entry
obat,Substitute) why?; bakit. obra/ubra work; occupation
oklak,Deaf; Used in teasing names; as Susing Oklak
ola,Gate; flood gate
olen,See dictionary entry
oneng,Except that
opu,See dictionary entry
oras,Vegetable; hour; time; the moment for
oreni,(Deictic substitute; plural) here they are
oreta,There they are
ornu,See dictionary entry
oro,One of the suits of cards in monte. orsera/ ulsera
os/qos,Ulcer; wash an object
ospital,Hospital
ot,(Q./Subs; obat
oyta,Formerly container for sugar (in the ). (Subs; deictic; locative; plural) there they are
pa,Still; yet. banwa the first year; the first month. causative verbal prefix. something used for
pa:gupit,Get haircut; which is more; gupit is recent Tagalog loan; Bisa gupit? Do you want to have your hair cut?
pa:kabayu,Sawhorse
pa:kabsyan,Make one eat his fill; /qabsiq
pa:kanan,Feed someone
pa:kanaq,Kind of snare; trap
pa:kit,Show; see Atin; have something to show you; show to you
pa:makarine,Shame someone
pa:makiqabe,Ability to get along; make friends; abay-
pa:mangan,Something to eat
pa:mangawaq,See dictionary entry
pa:manikan,Stage in courtship when the suitor is to visit with the girl in her house
pa:marug,Whipping
pa:mialungan,See dictionary entry
pa:mibiebie,Way of life
pa:ngutang,Question
pa:pakan,Food
pa:pakbung,Noisemaker
pabalikan,Return something
pabalu,See dictionary entry
pabalut,Have wrapped
pabanglu,See dictionary entry
pabayu/pabayo,Have pounded
pabendisyun,Have someone/thing blessed
pabiblas,Have someone dressed
pabrika,Factory
pabu,Turkey
pabukalan,Have something boiled
paburen,Tolerate; neglect; forget
pacit/patcit,Canine teeth
pader,Concrete wall
padigalyu,Crossbraces base and legs; as in paduas/padwas; catch on line and hook
pagal,(D././V.) tired
pagawaq,Have something done; made
paglapakan,Break up
paglasa,See dictionary entry
pagmayumu,Preservative
pagnugut,(V./N.) funeral ceremony
pago,Shoulder
pakakalale,Be very careful; alale
pakbung,Device for exploding caps
pakde,See dictionary entry
paki,Startled awake. ( prefix) reciprocal action with benefactive focus; Please dofor ala; Its none of your business (from Tagalog: Wala alam)
pakibat,Answer; to answer someone
pakinabang,Profit. Holy Communion
pakiqabayan,Humor someone; abay-
pakiqalam,Business; concern. (from Tagalog)
pakiramdaman,See dictionary entry
pakliq,Crooked; bent at the end
paklud,See dictionary entry
pakpak,Show; see Atin; have something to show you; show to you; crooked; bent at the end; burst; clap hands; flap. clap for someone; wings; paksing-; stew
pakuq,Nail. what one nails nail
pakwan,Watermelon
pakyapusan,Someone
pala,Shovel; syn. tapil. surprise; receipt of new
palablab,Cause to blaze; flame up
palad,See dictionary entry
palage,Opinion
palakaran,Send someone on an errand
palakaya,Variety of rice (used to grow three crops in one year)
palako,Send someone away
palakul,Hatchet; hack someone/thing
palang,Hatchet; hack someone/thing; (of hand). destiny; fate; opinion; -/lage; bolo
palanggana,See dictionary entry
palapaq,Fiber stripped from banana stalk
palapat,Tree which grows on river banks; has roots which are large protrusions at the base of the trunk; produces fruit called puge. fishpond
palatito,Little plate; saucer
palawe,See dictionary entry
palawiq,Place name: tete Bridge
palayo,See dictionary entry
palbug,See dictionary entry
paldak,See dictionary entry
paldas,Take off. lukas; likas; lukas; the removing of ceremonial black (clothes or ribbon) one year after family death
paldu,Beat; strike
pale,Rat(s); tigsang dagis lump in flesh caused by sharp blow
palengki,See dictionary entry
palid,Dirt which rubs off ones body
paligiq,Ditch with water
palikas,Have something exchanged
palikeru,Playboy
palino,Make something clear
palipas-oras,Something to time
palipit,See dictionary entry
paliq,(V./N.) drops of urine; bedwetter; person who has to urinate frequently
palis,(D./V./.) twisted; dilaq; broom; tingbu. talapamalis janitor; sweep something
palsisingan,See dictionary entry
paltikus,See dictionary entry
paltuk,Type of banana; sweet; and similar to the type; konk someone on the head; raise lump; crack something; make pop. sendout
palub,Put something inside
paludpud,Fibrous at the base of bamboo
palung,See dictionary entry
palupaluq,See dictionary entry
palut,Fibrous at the base of bamboo; beater (used in washing clothes); beat on something; harvest. lut
palyu,/- pahamak-; lowness; abjectness; humbleness
pamada,Pomade hair dressing; dabs of pomade are also used at either end of clothesline to the ants off
pamaduas,Catching pole (for frogs; fish)
pamagat,Title (of sarsuela)
pamaksi,See dictionary entry
pamamuri,Praise; compliments; greetings
pamanan,See dictionary entry
pamangatmuq,Act of filling something
pamaragul,Be made big; make something big
pamaskas,Abrasive dried banana leaves used to burnish the working surface of an
pamatak,Opinion
pamepe,See dictionary entry
pamilya,Family
paminta,Pamira(y)itan; cheat someone
pamiru,Something done/used for joke
pamisanmisan,Once in while
pamisip,Thoughts; conscience; bad conscience
pamitik,See dictionary entry
pampam,Thoughts; conscience; bad conscience; of the equipment used in using carabao to plow; prostitute; Balang deng amerikano; buri yung You to say that every one who goes with Americans is prostitute?
pampangan,See dictionary entry
pamuguq,See dictionary entry
pamunta,Act of going; punta
pamusniq,Tool for opening
pamutut,Tool for cutting
pan,Bread. small hard rolls. childrens word for childs genitals
panabud,Long knife
panakdut,Tool held fingers and used to cut the stalks of rice in harvesting; not used in Bacolor area; said to be too slow; but said to be used in the Tarlac area. / (V./N.) something used grating words
panaliq,Something to tie with
panamdam,Feeling
pananan,Cause something
panangab,Firewood
panapana,Arrow; spear; spines of fish
panara,Delicacy sold at small stands near the church at the of Christmas
panas,Delicacy sold at small stands near the church at the of Christmas; jack (tool for raising vehicle); get covered or with ants
panataq,Promise; time; season; climate; also used of rice variety which takes months to
panayan,Wait for someone
pandak,Short of stature
pande,Blacksmith
pandiga,Type of song
pane,Always
pang,(Comb; subordination) when; should such be the case; ating; nanung? Should someone question you; what will you answer?
panga,See dictionary entry
pangadiq,Prayer
pangaduwan,Hand something to someone
pangaduwaq,Second; as child
pangalat,Scatter something
pangalimbag,Printing; edition
pangane,See dictionary entry
panganib,Child; danger
pangasabi,Thing said
pangaskas,Brush; made of banana leaves tied to long stick; used for brushing fat onto roasting
pangatawanan,Adultery
pangkili,By-product of sugar
pangnanu,(Q./N.) what (is something) for
pangpang,River bank(s). people; language; made into or translated into
panguluq,River bank(s). people; language; made into or translated into; place name; far barrio of Bacolor; towards the mountains remembered in as the location of U.S. Army motor pool and repair place during the war. /; niece; nephew
panikiq,Largest variety
paninap,Dream (?thing dreamt?)
paninga,Toothpick
panintun,Look for
panisnis,Something to tease with
pansariliq,Something for oneself; diliq
pansing,Notice something
pansit,Noodle dish. luglug; gisadu; tagalog; kind of seaweed or underwater grass
pantalon,See dictionary entry
pantalya,Type of lamp
pantat,See dictionary entry
pantiq,Kind of fish; like; of underwater traps
pantug,Bladder. pantyun/pancun; tomb; wall into which coffins are sealed
panuksuwan,Tease someone
panulu,See dictionary entry
panupaya,Forgive; tolerate; apology
panyalak,Sieve; strainer
panyamento,Kind of soil (used for cement?)
panyu/panyuq,Handkerchief. -hanky; blindmans bluff
panyukaq,Thing vomited
panyuksuk,Thorns
panyungkit,Tool for hooking down from trees
papag,Platform used for sleeping; eating; and just sitting around talking. place where people congregate to talk
papaq,Cramped
papayaq,Fruit; more commonly
papil,Sheet of
papitnaq,Cut in half
papuntukan,Have carried on anothers. head
papusanan,Help someone load something on his shoulder
paputut,Have something cut
paqileksyun,Get an used in some; more commonly
paqinabu,Fall down; Dont fall
paqinawa,Rest yourself. /
paqintunan,Look for someone; pait/paqit/payit (D./N.) bitter
paqulyan,Send someone home; paunakan/paqu- nakan/-
para,Similar; the same
para:pareu,Similar
parada,Stop; put on the brakes. usually used as command. (Preposition) on behalf for the sake of/ purpose place. station; alang No
paradadas,See dictionary entry
paradays,Name of cabaret in San Fernando
paradul,Cabinet (. aparador)
parala,Send; have brought
paralaya,East; the place where the sun rises
paralis,Accidental
paralisis,Person
paraman,See dictionary entry
paras,See dictionary entry
parati,Spicy; always; all the time
paratut,Haughty; proud
pardegonis,Ammunition for air rifle
pare,Term of address; abbreviated form of fictive term)
parehu/pareu,Similar; the same
pariq,Priest; be priest; become priest
parit,Teasing nickname given to
paritan,Lamp (deep
paro,See dictionary entry
parobaq,Shrimp; curl up like shrimp; west; the area where fields are (in
parteparte,Division; section
parti,Divide; sharing system in tenancy (7030)
parul,Christmas lantern
parusparus,Small white seashell
pasadas,Carry pasai/pasayi/; fare; voyage. money for fare
pasakup,Put limit on
pasalamat,Give thanks; thank
pasalwan,Sell something
pasamano,Window sill
pasaq,Hard lump in flesh; caused by sharp blow
pasariq,Ordered
pasayerus,See dictionary entry
pasbul,See dictionary entry
pasensya,Carry; door; gate; Christmas; tolerance; have with
pasibayu,(Q./N.) later; again; repeat something
pasikateru,Person who likes things sure
pasikutsikut,Compare
pasimundut,Field mouse
pasiq,Spinning top
pasku,See dictionary entry
pasmaq,See dictionary entry
paspas,Stroke; spasm; overexposure; dab something whisk
pasukad,Have something
pasumpal,Have (e.g. tooth) filled
pasya,Decide; decision
pasyal,Go around; wander; stroll about seeking entertainment
pasyok,Whistle
pasyun,Story of Christs
pat,Chisel (for woodworking)
pata/pataq,(D./V./.) cramped; numb
patad,(V./.) extinguish; me radyu; Turn off the radio
patag,See dictionary entry
patak,See dictionary entry
pataklaq,Drop of liquid; drip; laxative; patakulojung/; acacia tree rare word
patan,Ending; lose breath an euphemism for death; level ground; plain. (V./.) be hit
patatluq,Ceremony of funeral)
patawaran,Forgive
patdaq,(V./.) extinguish; me radyu; Turn off the radio
pate,See dictionary entry
paterikterik,Cemetery local name?)
pati,See dictionary entry
patianak,Spirit creature like or tiny bearded old; live in
patibung,Snare; trap made of bamboo
patilya,See dictionary entry
pating,Sideburns; shark
patingapun,Whole day
patipati,Nest. basket for chickens esp. fightingcocks; pugad dareng whorehouse; yang pugad He is searching for nest
patiq,Also; of abyas; Anam gatang; gatang one; 25 one cavan
patlud,Dove. woman; i.e. promiscuous woman. (D./V./.) burst; broken; nunyat; pota; bituka; Dont stretch right after eating or you burst your
patukud,Post; cane
patuluq,Plumb bob
patuq,Be runover
patyu/patcu,Courtyard; large open area among houses; used for threshing
pau/pawu,Turtle
paud,Yoke (for carabao). (D./N.) thatched (nipa roof)
pawas,Niece; nephew; sweat
payalili,Have something changed
payasus,Call on Jesus; swear; saying Sus!
payat,See dictionary entry
payu,Thin; skinny; grow thin; advice. talapayu advisor
payung,Umbrella; carry an
pe rukaril,National Railway
pebreru,February
peka,( affix; with descriptives) the smallest; the biggest. ( affix; carries the of either the best example the real thing; substitute for) the real source
pekas,See dictionary entry
pekat,Freckles; freckled; sticky substance; sticky; amekatmekat
pekpek,Childs word for female genitals
peksing,Handsome
pelikula,Movies
penandit,Moment; momentarily
pendatun,Excitement; be excited
pengan,(N./V.) eat something/thing eaten; see pengari/
pepalto,See dictionary entry
pepe,See dictionary entry
perla,Burak in the (name of zarsuela by Crissot)
pero,Kind of sweet; made of rice balls with sugar and coconut; boiled; then floats; make waving motion; fan oneself; wave at someone; Burak in the (name of zarsuela by Crissot); oneng; anyaq; dapot
pesti,See dictionary entry
pesus,Plague; type of epedemic; one single bills
pete,(V./D./.) dead
petikpetik,Slowly
petsa,Nanu ngeni? What is todays date?
petsay,Vegetable; Chinese lettuce
pi:durutan,Handle; crank; thing to turn with
pi:kataman,Shavings
pi:kayasan,Scrapings
pialung,See dictionary entry
pibatan,Suffer; tolerate; endure; tolerate something; make one be about something
piblas,Play; playmate; source; where something came costume; clothes; clothe someone
picil,Spout of pump
pidlolong,Acquired things
pidpid,Very large salikap (four feet squareroughly). salikap gareta
